state,financial_year,udise_formula_academic_year,udise_report_year,udise_formula_school_count,formula_small10_lakh,formula_small25_lakh,official_pab_entry_confirmed,official_pab_listing_url,source_status,administrative_stage,csg_amount_lakh,school_count,exact_comparable_to_formula,value_precision,source_tier,source_url,official_node_url,notes,pct_gap_vs_formula_small10,pct_gap_vs_formula_small25
MEGHALAYA,2024-25,2022-23,2025-26,7727,1529.7,2087.25,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,exact_full,PAB_recommended,1749.3,7719.0,True,exact,PAB_document_mirror,https://www.scribd.com/document/869806953/Megalya-PAB-2024-25,,"PAB costing sheet: elementary 7,604 / Rs 1,686.50 lakh plus secondary 115 / Rs 62.80 lakh.",14.355756030594227,-16.19116061803809
MIZORAM,2024-25,2022-23,2025-26,2538,527.2,681.25,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
NAGALAND,2024-25,2022-23,2025-26,1888,423.2,571.25,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
ODISHA,2024-25,2022-23,2025-26,48647,16020.15,17453.25,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
PUDUCHERRY,2024-25,2022-23,2025-26,414,179.6,185.75,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
PUNJAB,2024-25,2022-23,2025-26,19159,6516.35,7097.0,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
RAJASTHAN,2024-25,2022-23,2025-26,69206,24701.8,27181.0,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,exact_implementation,state_implementation_budget,24697.85,69190.0,True,exact,state_guideline_mirror,https://fr.scribd.com/document/900026056/CSG-Guideline-2024-25-1,https://dsel.education.gov.in/node/2952,"2024-25 Rajasthan CSG guideline. Elementary 51,772 / Rs 13,366.10 lakh plus secondary 17,418 / Rs 11,331.75 lakh. Explicitly based on DISE 2022-23.",-0.015990737517106963,-9.135609433059862
SIKKIM,2024-25,2022-23,2025-26,854,202.4,275.75,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
TAMIL NADU,2024-25,2022-23,2025-26,37545,12238.15,13873.75,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,approx_full,press_reported_PAB_approval,12000.0,37471.0,True,approximate,reputable_press,https://www.newindianexpress.com/states/tamil-nadu/2025/Feb/21/tn-released-funds-for-government-school-maintenance,,"New Indian Express reports PAB approved around Rs 120 crore for 37,471 schools. Approximate amount; do not use as exact arithmetic validation.",-1.9459640550246535,-13.5057212361474
TELANGANA,2024-25,2022-23,2025-26,28462,8699.8,10057.0,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
TRIPURA,2024-25,2022-23,2025-26,4218,1283.0,1511.75,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
UTTAR PRADESH,2024-25,2022-23,2025-26,136689,54686.05,55651.75,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
UTTARAKHAND,2024-25,2022-23,2025-26,16301,3366.7,4857.25,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,unresolved,unresolved,,,False,unresolved,unresolved,,,PAB 2024-25 State/UT entry confirmed in DoSE&L listing; CSG total not yet independently transcribed.,,
WEST BENGAL,2024-25,2022-23,2025-26,81374,28507.2,31050.0,True,https://dsel.education.gov.in/pab-minutes?field_financial_year_target_id=335&field_states_target_id=All,reported_full_approval,press_reported_Centre_approval,30550.0,,True,exact_reported,reputable_press,https://www.hindustantimes.com/cities/kolkata-news/school-children-suffer-in-west-bengal-as-centre-state-government-tussle-over-funds-101742208883581.html,,State education minister quoted saying Centre approved Rs 305.50 crore CSG for FY2024-25. Secondary-source approval value; retain source-tier caveat.,7.165908963349607,-1.610305958132045
